[2025-04-29T20:43:39.498+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-29T20:43:39.515+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:43:38.495539+00:00 [queued]>
[2025-04-29T20:43:39.522+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:43:38.495539+00:00 [queued]>
[2025-04-29T20:43:39.523+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-04-29T20:43:39.540+0000] {taskinstance.py:2889} INFO - Executing <Task(_PythonDecoratedOperator): check_historical_news> on 2025-04-29 20:43:38.495539+00:00
[2025-04-29T20:43:39.547+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=649) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-29T20:43:39.850+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-03-18 00:00:00
[2025-04-29T20:43:39.852+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-03-11 00:00:00: missing
[2025-04-29T20:43:39.853+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-03-11 00:00:00
[2025-04-29T20:43:39.856+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-03-04 00:00:00: missing
[2025-04-29T20:43:39.856+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-03-04 00:00:00
[2025-04-29T20:43:39.858+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-02-25 00:00:00: missing
[2025-04-29T20:43:39.859+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-02-25 00:00:00
[2025-04-29T20:43:39.861+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-02-18 00:00:00: missing
[2025-04-29T20:43:39.862+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-02-18 00:00:00
[2025-04-29T20:43:39.864+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-02-11 00:00:00: missing
[2025-04-29T20:43:39.864+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-02-11 00:00:00
[2025-04-29T20:43:39.866+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-29 00:00:00: missing
[2025-04-29T20:43:39.867+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-04-29 00:00:00
[2025-04-29T20:43:39.869+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-22 00:00:00: missing
[2025-04-29T20:43:39.870+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-04-22 00:00:00
[2025-04-29T20:43:39.872+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-15 00:00:00: missing
[2025-04-29T20:43:39.873+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-04-15 00:00:00
[2025-04-29T20:43:39.875+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-08 00:00:00: missing
[2025-04-29T20:43:39.875+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-04-08 00:00:00
[2025-04-29T20:43:39.876+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-01 00:00:00: missing
[2025-04-29T20:43:39.877+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-04-01 00:00:00
[2025-04-29T20:43:39.879+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-03-25 00:00:00: missing
[2025-04-29T20:43:39.879+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-03-25 00:00:00
[2025-04-29T20:43:39.881+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-03-18 00:00:00: missing
[2025-04-29T20:43:39.882+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-03-18 00:00:00
[2025-04-29T20:43:39.883+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-03-11 00:00:00: missing
[2025-04-29T20:43:39.884+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-03-11 00:00:00
[2025-04-29T20:43:39.886+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-03-04 00:00:00: missing
[2025-04-29T20:43:39.886+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-03-04 00:00:00
[2025-04-29T20:43:39.888+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-02-25 00:00:00: missing
[2025-04-29T20:43:39.889+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-02-25 00:00:00
[2025-04-29T20:43:39.891+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-02-18 00:00:00: missing
[2025-04-29T20:43:39.891+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-02-18 00:00:00
[2025-04-29T20:43:39.893+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-02-11 00:00:00: missing
[2025-04-29T20:43:39.893+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-02-11 00:00:00
[2025-04-29T20:43:39.895+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-04-29 00:00:00: missing
[2025-04-29T20:43:39.895+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-04-29 00:00:00
[2025-04-29T20:43:39.897+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-04-22 00:00:00: missing
[2025-04-29T20:43:39.897+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-04-22 00:00:00
[2025-04-29T20:43:39.900+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-04-15 00:00:00: missing
[2025-04-29T20:43:39.900+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-04-15 00:00:00
[2025-04-29T20:43:39.903+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-04-08 00:00:00: missing
[2025-04-29T20:43:39.903+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-04-08 00:00:00
[2025-04-29T20:43:39.905+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-04-01 00:00:00: missing
[2025-04-29T20:43:39.906+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-04-01 00:00:00
[2025-04-29T20:43:39.908+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-03-25 00:00:00: missing
[2025-04-29T20:43:39.909+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-03-25 00:00:00
[2025-04-29T20:43:39.911+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-03-18 00:00:00: missing
[2025-04-29T20:43:39.911+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-03-18 00:00:00
[2025-04-29T20:43:39.914+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-03-11 00:00:00: missing
[2025-04-29T20:43:39.914+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-03-11 00:00:00
[2025-04-29T20:43:39.916+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-03-04 00:00:00: missing
[2025-04-29T20:43:39.916+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-03-04 00:00:00
