[2025-04-29T20:51:13.946+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-29T20:51:13.962+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:51:12.528007+00:00 [queued]>
[2025-04-29T20:51:13.969+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:51:12.528007+00:00 [queued]>
[2025-04-29T20:51:13.969+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-04-29T20:51:13.980+0000] {taskinstance.py:2889} INFO - Executing <Task(_PythonDecoratedOperator): check_historical_news> on 2025-04-29 20:51:12.528007+00:00
[2025-04-29T20:51:13.985+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=92) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-29T20:51:14.232+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-02-25 00:00:00: missing
[2025-04-29T20:51:14.232+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-02-25 00:00:00
[2025-04-29T20:51:14.234+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-02-18 00:00:00: missing
[2025-04-29T20:51:14.234+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-02-18 00:00:00
[2025-04-29T20:51:14.236+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-02-11 00:00:00: missing
[2025-04-29T20:51:14.236+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-02-11 00:00:00
[2025-04-29T20:51:14.237+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-29 00:00:00: missing
[2025-04-29T20:51:14.238+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-04-29 00:00:00
[2025-04-29T20:51:14.239+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-22 00:00:00: exists
[2025-04-29T20:51:14.240+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-15 00:00:00: missing
[2025-04-29T20:51:14.240+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-04-15 00:00:00
[2025-04-29T20:51:14.242+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-08 00:00:00: missing
[2025-04-29T20:51:14.242+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-04-08 00:00:00
[2025-04-29T20:51:14.243+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-01 00:00:00: missing
[2025-04-29T20:51:14.243+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-04-01 00:00:00
[2025-04-29T20:51:14.245+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-03-25 00:00:00: missing
[2025-04-29T20:51:14.245+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-03-25 00:00:00
[2025-04-29T20:51:14.246+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-03-18 00:00:00: missing
[2025-04-29T20:51:14.247+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-03-18 00:00:00
[2025-04-29T20:51:14.249+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-03-11 00:00:00: missing
[2025-04-29T20:51:14.250+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-03-11 00:00:00
[2025-04-29T20:51:14.252+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-03-04 00:00:00: missing
[2025-04-29T20:51:14.252+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-03-04 00:00:00
[2025-04-29T20:51:14.254+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-02-25 00:00:00: missing
[2025-04-29T20:51:14.255+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-02-25 00:00:00
[2025-04-29T20:51:14.256+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-02-18 00:00:00: missing
[2025-04-29T20:51:14.257+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-02-18 00:00:00
[2025-04-29T20:51:14.258+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-02-11 00:00:00: missing
[2025-04-29T20:51:14.258+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-02-11 00:00:00
[2025-04-29T20:51:14.260+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-04-29 00:00:00: missing
[2025-04-29T20:51:14.261+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-04-29 00:00:00
[2025-04-29T20:51:14.263+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-04-22 00:00:00: missing
[2025-04-29T20:51:14.263+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-04-22 00:00:00
[2025-04-29T20:51:14.265+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-04-15 00:00:00: missing
[2025-04-29T20:51:14.265+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-04-15 00:00:00
[2025-04-29T20:51:14.267+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-04-08 00:00:00: missing
[2025-04-29T20:51:14.267+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-04-08 00:00:00
[2025-04-29T20:51:14.270+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-04-01 00:00:00: missing
[2025-04-29T20:51:14.270+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-04-01 00:00:00
[2025-04-29T20:51:14.272+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-03-25 00:00:00: missing
[2025-04-29T20:51:14.272+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-03-25 00:00:00
[2025-04-29T20:51:14.274+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-03-18 00:00:00: missing
[2025-04-29T20:51:14.274+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-03-18 00:00:00
[2025-04-29T20:51:14.276+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-03-11 00:00:00: missing
[2025-04-29T20:51:14.277+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-03-11 00:00:00
[2025-04-29T20:51:14.279+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-03-04 00:00:00: missing
[2025-04-29T20:51:14.279+0000] {check_historical_news.py:35} INFO - Missing news for JPMorgan for week 2025-03-04 00:00:00
[2025-04-29T20:51:14.281+0000] {mongodb_client.py:77} INFO - News for JPMorgan on week 2025-02-25 00:00:00: missing
